Date : 2025-11-19 09:40:42
Directory : c:\Users\Humam\OneDrive\Documents\Classified-db-v2
Total : 363 files,  25776 codes, 2091 comments, 2969 blanks, all 30836 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         68 |     10,572 |      1,125 |        131 |     11,828 |
| C#         |        246 |      9,891 |        554 |      1,658 |     12,103 |
| MS SQL     |          5 |      2,229 |        351 |        416 |      2,996 |
| Markdown   |         19 |      2,132 |          0 |        565 |      2,697 |
| Python     |          1 |        363 |         39 |        112 |        514 |
| XML        |         14 |        257 |          0 |         26 |        283 |
| PowerShell |          2 |        200 |         22 |         53 |        275 |
| Properties |          8 |        132 |          0 |          8 |        140 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                     |        363 |     25,776 |      2,091 |      2,969 |     30,836 |
| Archieve                                                                                                                                                                              |          2 |        618 |        255 |        233 |      1,106 |
| Categories                                                                                                                                                                            |          2 |        200 |         22 |         53 |        275 |
| MongoDB Documents                                                                                                                                                                     |         38 |      1,813 |      1,125 |        138 |      3,076 |
| MongoDB Documents\AdsClassificationAttributes                                                                                                                                         |         32 |      1,555 |      1,102 |        113 |      2,770 |
| MongoDB Documents\AdsClassificationAttributes (Files)                                                                                                                                 |          1 |         36 |          6 |         10 |         52 |
| MongoDB Documents\AdsClassificationAttributes\Electronics                                                                                                                             |          6 |        313 |        375 |         19 |        707 |
| MongoDB Documents\AdsClassificationAttributes\Jobs-Services                                                                                                                           |          3 |        226 |        266 |          6 |        498 |
| MongoDB Documents\AdsClassificationAttributes\Miscellaneous                                                                                                                           |          8 |        339 |        278 |         19 |        636 |
| MongoDB Documents\AdsClassificationAttributes\Real Estate                                                                                                                             |          4 |        174 |         70 |         14 |        258 |
| MongoDB Documents\AdsClassificationAttributes\Vehicles                                                                                                                                |         10 |        467 |        107 |         45 |        619 |
| MongoDB Documents\AdsClassificationAttributes\Vehicles (Files)                                                                                                                        |          5 |        238 |         85 |         20 |        343 |
| MongoDB Documents\AdsClassificationAttributes\Vehicles\Heavy Equipment                                                                                                                |          5 |        229 |         22 |         25 |        276 |
| MongoDB Documents\ChatSystem                                                                                                                                                          |          4 |        114 |         23 |         25 |        162 |
| MongoDB Documents\Sort&Exchange                                                                                                                                                       |          2 |        144 |          0 |          0 |        144 |
| Notes                                                                                                                                                                                 |         10 |      1,506 |         76 |        363 |      1,945 |
| Notes (Files)                                                                                                                                                                         |          8 |        875 |         30 |        220 |      1,125 |
| Notes\enumSystem                                                                                                                                                                      |          2 |        631 |         46 |        143 |        820 |
| SQL                                                                                                                                                                                   |          4 |      1,974 |        135 |        295 |      2,404 |
| SQL (Files)                                                                                                                                                                           |          2 |        153 |         62 |         69 |        284 |
| SQL\Inserting-data                                                                                                                                                                    |          2 |      1,821 |         73 |        226 |      2,120 |
| backend                                                                                                                                                                               |        307 |     19,665 |        478 |      1,887 |     22,030 |
| backend (Files)                                                                                                                                                                       |          1 |         56 |          0 |         13 |         69 |
| backend\src                                                                                                                                                                           |        306 |     19,609 |        478 |      1,874 |     21,961 |
| backend\src\ClassifiedAds.Api                                                                                                                                                         |         42 |      4,076 |         75 |        153 |      4,304 |
| backend\src\ClassifiedAds.Api (Files)                                                                                                                                                 |          5 |        323 |          9 |         85 |        417 |
| backend\src\ClassifiedAds.Api\Controllers                                                                                                                                             |          1 |        177 |         34 |         22 |        233 |
| backend\src\ClassifiedAds.Api\Examples                                                                                                                                                |          5 |         80 |          0 |          8 |         88 |
| backend\src\ClassifiedAds.Api\Examples (Files)                                                                                                                                        |          2 |         27 |          0 |          2 |         29 |
| backend\src\ClassifiedAds.Api\Examples\Miscellaneous                                                                                                                                  |          2 |         30 |          0 |          4 |         34 |
| backend\src\ClassifiedAds.Api\Examples\Miscellaneous\BookAd                                                                                                                           |          2 |         30 |          0 |          4 |         34 |
| backend\src\ClassifiedAds.Api\Examples\Vehicles                                                                                                                                       |          1 |         23 |          0 |          2 |         25 |
| backend\src\ClassifiedAds.Api\Examples\Vehicles\HeavyEquipment                                                                                                                        |          1 |         23 |          0 |          2 |         25 |
| backend\src\ClassifiedAds.Api\Examples\Vehicles\HeavyEquipment\CraneAd                                                                                                                |          1 |         23 |          0 |          2 |         25 |
| backend\src\ClassifiedAds.Api\Middleware                                                                                                                                              |          1 |         33 |          0 |          8 |         41 |
| backend\src\ClassifiedAds.Api\Properties                                                                                                                                              |          1 |         23 |          0 |          1 |         24 |
| backend\src\ClassifiedAds.Api\bin                                                                                                                                                     |          7 |        820 |          0 |          5 |        825 |
| backend\src\ClassifiedAds.Api\bin\Debug                                                                                                                                               |          7 |        820 |          0 |          5 |        825 |
| backend\src\ClassifiedAds.Api\bin\Debug\net9.0                                                                                                                                        |          7 |        820 |          0 |          5 |        825 |
| backend\src\ClassifiedAds.Api\obj                                                                                                                                                     |         22 |      2,620 |         32 |         24 |      2,676 |
| backend\src\ClassifiedAds.Api\obj (Files)                                                                                                                                             |          4 |      2,469 |          0 |          0 |      2,469 |
| backend\src\ClassifiedAds.Api\obj\Debug                                                                                                                                               |         14 |        102 |         20 |         16 |        138 |
| backend\src\ClassifiedAds.Api\obj\Debug\net9.0                                                                                                                                        |         14 |        102 |         20 |         16 |        138 |
| backend\src\ClassifiedAds.Api\obj\Release                                                                                                                                             |          4 |         49 |         12 |          8 |         69 |
| backend\src\ClassifiedAds.Api\obj\Release\net9.0                                                                                                                                      |          4 |         49 |         12 |          8 |         69 |
| backend\src\ClassifiedAds.Application                                                                                                                                                 |        129 |      9,676 |        272 |        987 |     10,935 |
| backend\src\ClassifiedAds.Application (Files)                                                                                                                                         |          1 |         18 |          0 |          6 |         24 |
| backend\src\ClassifiedAds.Application\Common                                                                                                                                          |          3 |        287 |         22 |         74 |        383 |
